Название фильма,Страны,Режиссер,Жанр,Год
Англичанин в Нью-Йорке,Великобритания,Ричард Лэкстон,Биография / драма,2009
"Англичанин, который поднялся на холм, а спустился с горы",Великобритания,Кристофер Монгер,комедия,1995
Англия!,Германия,Ахим фон Боррис,драма,2000
Ангус (фильм),США Великобритания Германия Франция,Пэтрик Рид Джонсон,комедия,1995
"Ангус, стринги и поцелуи взасос",США Великобритания Австралия,Гуриндер Чадха,комедия / драма,2008
Андалузский пёс,Франция,Луис Бунюэль,сюрреализмавангард,6 июня 1929[1] и 1929
Андерграунд (фильм),Франция[4][5][…] Германия[4][5][…] Болгария Венгрия[4][5][…] Чехия[4] Югославия[4] Югославия[3],Эмир Кустурица[2],"Трагикомедия, фантасмагория","1 апреля 1995, 23 ноября 1995[1], 26 декабря 1995 и 20 июня 1997"
Андерсен. Жизнь без любви,Россия,Эльдар Рязанов,БиографияСказка,2006
"Анджело (фильм, 1920)",РСФСР,Михаил Нароков,Драма,1920
"Анджело, моя любовь",США,Роберт Дюваль,драма,1983
Андин. Хроники армянских путешествий,Армения  Китай  Индия  Кыргызстан  Великобритания   Мексика  Россия  Франция   Испания,Рубен Гини,"документальный, исторический",2014
